,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
5,264.7121486549943,289.2700744616623,2141.3027913955757,4.20440214344197,0.027886156200484236,31.888993069686578,27155.0,0.050344232795603475,0,0
5,264.7121486549943,289.2700744616623,2141.3027913955757,4.20440214344197,0.027886156200484236,31.888993069686578,27155.0,0.050344232795603475,1,0
5,264.7121486549943,289.2700744616623,2141.3027913955757,4.20440214344197,0.027886156200484236,31.888993069686578,27155.0,0.050344232795603475,2,0
5,264.7121486549943,289.2700744616623,2141.3027913955757,4.20440214344197,0.027886156200484236,31.888993069686578,27155.0,0.050344232795603475,3,0
5,264.7121486549943,289.2700744616623,2141.3027913955757,4.20440214344197,0.027886156200484236,31.888993069686578,27155.0,0.050344232795603475,4,0
7,478.5013832023902,132.35387849950206,3866.0568335835887,3.1762438434369487,0.3847104283267262,109.08979667631017,18283.0,-0.11181843158601089,5,1
6,478.85172647257957,110.46689234935681,3159.3260723707867,3.270391991478733,0.42184968197475753,96.68350607390627,17628.0,-0.09806315530071598,5,2
5,476.9138319949472,92.16042587747,4741.342025739395,3.68943466919948,0.007697717928409708,85.56062484416485,24744.0,0.29147001810029677,5,3
3,459.8964997681966,68.2196337505795,3691.0853557772716,2.8272795234890835,0.23105540584164644,104.38396230988111,16730.0,-0.08391135497543065,5,4
2,264.7097163548582,289.2735868034601,2126.609330501717,4.204704667366148,0.027889710348177305,31.657431192340994,27155.0,0.12424868885518872,5,0
4,474.94663728683656,46.091301015520216,4465.409010616963,3.53416522206067,0.5090853162828813,106.95078105520605,16893.0,-0.08616853290792624,5,5
4,262.02328057349706,290.4285612889488,2033.9405327014658,4.06161292503885,0.10999810467331196,31.760019674520723,26837.0,0.03904298376808533,6,0
7,255.2517612161661,296.4083796811272,1973.6710350056314,4.049160274023638,0.158868390029723,31.02842116582824,26739.0,0.02950433649941677,7,0
7,251.790137032651,299.31593638978177,1834.788048652763,4.0553395734509445,0.0914064945288738,33.83385168383542,26508.0,0.0304609732663101,8,0
